name,total_downloads,latest_release,has_attestation
benchmark-ips,1862758,2024-09-08 06:32:23.458396,False
cocoapods-core,1861882,2024-10-31 18:04:06.937178,False
sass-embedded,1851874,2025-02-25 02:41:04.790587,False
active_model_serializers,1842118,2024-12-01 00:56:35.774985,False
dry-container,1836107,2022-09-16 08:47:55.670114,False
flipper-active_record,1829312,2025-03-03 19:08:05.464152,False
stripe,1827851,2025-02-24 22:38:07.66199,False
opentelemetry-instrumentation-rack,1815189,2025-01-16 05:49:52.230158,False
ruby-rc4,1815063,2012-02-07 17:41:25.818599,False
letter_opener,1803291,2024-03-30 14:23:27.136727,False
debase-ruby_core_source,1799730,2025-01-13 17:09:42.934871,False
sqlite3,1798651,2025-02-20 17:52:57.415414,False
console,1791199,2025-03-10 00:48:49.709362,False
view_component,1785322,2024-12-19 21:51:54.479732,False
opentelemetry-instrumentation-active_record,1785052,2025-01-16 05:49:05.110813,False
stimulus-rails,1778734,2024-08-16 23:25:36.380608,False
attr_required,1776915,2023-12-27 07:43:03.374033,False
opentelemetry-instrumentation-http_client,1773397,2025-01-16 05:49:18.23611,False
sin_lru_redux,1768901,2025-03-12 14:06:55.294194,True
opentelemetry-instrumentation-action_pack,1766801,2025-02-04 20:56:58.880607,False
hana,1766274,2020-12-03 21:16:27.481577,False
database_cleaner,1760523,2024-10-25 01:50:05.847706,False
io-event,1756456,2025-03-12 23:12:22.422929,False
opentelemetry-instrumentation-faraday,1756304,2025-01-16 05:49:39.378389,False
opentelemetry-instrumentation-http,1755341,2025-01-16 05:49:13.860721,False
icalendar,1754877,2024-09-21 16:31:47.279651,False
